speaker_id,n_seg,n_sess,hours
23599,318,165,14.222883333333334
23600,126,67,6.689169444444446
23601,61,45,3.3455555555555563
23602,35,22,0.9941222222222222
23631,234,124,9.598783333333333
23632,987,336,35.30146944444445
23633,34,21,1.3090055555555553
23634,57,34,2.0495555555555556
23635,160,92,7.659280555555556
23636,23,18,0.8389027777777778
23637,46,28,1.5492527777777776
23638,55,44,1.8470861111111112
23639,207,162,6.376894444444444
23640,34,26,1.2409
23641,36,12,1.2679527777777777
23642,242,148,8.379302777777777
23643,308,137,11.351933333333333
23651,584,216,21.797277777777776
23652,635,200,21.525605555555554
23653,372,169,15.808608333333336
23673,209,119,10.134524999999998
28513,244,126,10.328094444444444
29855,1,1,0.05614444444444445
30054,24,16,0.6924916666666666
30055,501,152,13.997602777777779
30056,3,1,0.03267222222222222
30057,366,107,11.608241666666666
30058,142,61,3.5949333333333335
30059,255,147,8.274775
30060,36,26,2.1377166666666665
30061,255,121,11.302158333333333
30062,146,60,5.678344444444445
30063,235,133,10.280377777777778
30064,156,94,6.885969444444444
30065,249,119,8.872172222222222
30066,222,123,8.813027777777776
30067,485,237,20.64604722222222
30068,367,189,13.232980555555555
30069,297,144,10.90701111111111
30070,468,193,15.469766666666668
30071,152,93,6.085175
30074,345,154,11.86507222222222
30076,32,16,1.3239944444444443
30077,123,43,6.676436111111111
30078,92,43,4.574291666666667
30079,34,22,1.4472527777777777
30080,57,37,2.453530555555556
30081,418,125,8.746916666666667
30082,182,71,6.464819444444445
30083,138,49,4.478688888888889
30084,89,52,3.764397222222222
30094,65,40,1.934783333333333
30095,40,33,1.8032722222222222
30096,163,81,4.789938888888889
30097,19,12,0.6918888888888889
30098,302,105,9.153072222222221
30099,112,72,5.411308333333333
30102,366,161,10.446905555555556
30106,108,47,3.840377777777778
30117,56,12,1.541975
30118,155,69,5.87945
30121,405,208,16.406752777777776
30289,179,100,8.74617222222222
30300,278,133,8.02035
30328,45,22,1.3825916666666667
30407,139,76,3.9976111111111114
30470,193,117,6.400575
30480,32,20,1.172963888888889
30520,52,40,1.8674249999999997
30548,128,73,4.502030555555556
30549,6,5,0.3652944444444444
30554,54,29,2.0143916666666666
30555,62,39,2.1701416666666664
30558,91,54,3.798019444444444
30588,14,11,0.4464722222222222
30601,191,100,6.48436388888889
30628,3,2,0.09778611111111112
30646,7,7,0.29183055555555554
30654,1,1,0.044097222222222225
30657,56,26,3.0639111111111115
30660,136,65,4.418933333333333
30662,132,54,3.8138
30671,36,27,1.6163499999999997
30672,154,83,5.59005
30677,4,2,0.17799444444444443
30678,105,26,3.3550861111111114
30679,36,25,1.5942472222222224
30680,90,24,3.0139666666666667
30681,97,53,3.9334472222222225
30682,250,76,9.40476111111111
30685,53,31,2.8169833333333343
30686,120,60,5.060375
30687,15,7,0.4989305555555556
30688,35,22,1.0527888888888888
30689,22,16,0.893338888888889
30690,36,19,1.8741333333333334
30691,64,39,2.832444444444444
30692,61,45,2.882288888888889
30693,166,68,4.4321166666666665
30694,141,64,5.502583333333332
30695,227,71,8.844341666666667
30696,30,14,0.8786111111111111
30698,3,2,0.19963888888888887
30700,20,10,1.0271083333333333
30701,94,50,3.8214944444444447
