speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
12962,75,4,0.212082,1341,6662,0.838926,0.619484,0.371365,0.360853,0.467562,0.557333,0.788274,0.887766,0.320643,0.427738,0.420482,0.515373,True,0.613333,0.348444,0.0382222,0.457831,0.154618,0.38755,0,0,2018-11-20,2018-12-18,רוברט טיבייב,Male,FSU,Jewish,Jewish,Unrecorded,57.4659,120.326,0.212082,mk
12963,140,15,0.741517,5252,27124,0.236291,0.17173,0.123001,0.12782,0.11329,0.479452,0.214215,0.259598,0.106764,0.138787,0.0994591,0.129491,True,0.741338,0.13054,0.128122,0.681115,0.139319,0.179567,1,0,2020-03-26,2021-03-29,משה יעלון,Male,Israel,Jewish,Jewish,Secular,70.0609,123.147,0.741517,mk
12964,104,6,0.432596,2695,14087,0.367347,0.279903,0.219666,0.232058,0.147681,0.40202,0.318333,0.420261,0.181754,0.265505,0.118377,0.180409,True,0.638384,0.181818,0.179798,0.54223,0.194257,0.263514,0,0,2018-11-21,2018-12-18,חנין זועבי,Female,Israel,Arab,Muslim,Unrecorded,49.5531,105.117,0.432596,mk
22151,209,25,0.913567,7197,36454,0.2533,0.185631,0.141865,0.143167,0.111435,0.439934,0.232518,0.276106,0.124811,0.161287,0.0980887,0.126225,True,0.695557,0.179375,0.125069,0.619001,0.222331,0.158668,2,2,2018-11-13,2026-01-21,אכרם חסון,Male,Israel,Druze,Druze,Unrecorded,62.4811,135.827,1.10254,mk
23511,19,3,0.0817258,508,2518,0.222441,0.21247,0.133858,0.179905,0.0885827,0.39823,0.1557,0.298546,0.0857099,0.194659,0.0463898,0.135263,False,0.646018,0.159292,0.19469,0.647059,0.132353,0.220588,0,0,2018-11-27,2020-06-23,נפתלי בנט,Male,Israel,Jewish,Jewish,Religious,47.4591,105.204,0.0817258,mk
23512,268,42,0.921449,6938,35229,0.268809,0.270516,0.172672,0.235857,0.0961372,0.357641,0.247448,0.290797,0.153888,0.192491,0.0785307,0.112741,True,0.666488,0.197319,0.136193,0.570117,0.205342,0.224541,4,3,2020-03-26,2021-01-26,איילת שקד,Female,Israel,Jewish,Jewish,Secular,44.5133,135.547,1.60316,mk
23534,170,16,0.680397,5008,25679,0.44389,0.316056,0.246206,0.22754,0.197684,0.445344,0.411221,0.479552,0.223416,0.272502,0.169421,0.224798,True,0.680612,0.219973,0.0994152,0.605028,0.150041,0.244931,0,2,2018-11-05,2020-02-25,מרדכי יוגב,Male,Israel,Jewish,Jewish,Religious,63.0153,127.239,0.73383,mk
23551,226,90,0.963347,6617,33945,0.242104,0.192399,0.139338,0.151038,0.102766,0.424469,0.22282,0.263584,0.124571,0.155752,0.0884503,0.118292,True,0.667291,0.177278,0.155431,0.627983,0.161605,0.210412,1,1,2021-05-27,2024-11-11,אורית סטרוק,Female,Israel,Jewish,Jewish,Religious,62.0532,117.967,7.23994,former_mk
23553,280,19,0.953702,6620,34289,0.257855,0.199831,0.169637,0.169646,0.0882175,0.342121,0.234969,0.283803,0.149533,0.191384,0.070583,0.106336,True,0.626245,0.240773,0.132982,0.529831,0.239537,0.230632,1,1,2018-11-05,2018-12-31,שולי מועלם-רפאלי,Female,Israel,Jewish,Jewish,Religious,53.9066,126.398,1.14403,mk
23558,310,310,0.922117,6524,31981,0.381668,0.351678,0.228694,0.288202,0.152974,0.400803,0.354245,0.408491,0.206375,0.250105,0.13227,0.173947,True,0.637349,0.198394,0.164257,0.52748,0.164879,0.307641,1,3,2018-11-05,2024-03-17,דוד ביטן,Male,MENA,Jewish,Jewish,Secular,63.7659,126.555,123.892,mk
23560,258,215,0.889476,6162,30906,0.381045,0.290332,0.240182,0.235035,0.140863,0.369676,0.354984,0.408315,0.218573,0.262882,0.122167,0.161693,True,0.701874,0.171635,0.126491,0.639189,0.156757,0.204054,2,2,2018-11-05,2026-01-20,יוליה מלינובסקי,Female,FSU,Jewish,Jewish,Secular,47.4277,122.982,25.4048,mk
23564,235,22,0.914088,6541,32081,0.323651,0.287834,0.207766,0.25685,0.115884,0.358054,0.301088,0.346665,0.187916,0.227565,0.0981631,0.132772,True,0.669343,0.163439,0.167218,0.550405,0.144224,0.305372,0,0,2018-11-08,2023-03-22,דוד אמסלם,Male,Israel,Jewish,Jewish,Secular,60.0571,122.585,2.69051,mk
23565,232,130,0.973373,7027,36402,0.226412,0.209494,0.154262,0.186281,0.0721503,0.318668,0.205008,0.252276,0.134727,0.177699,0.0602467,0.0856184,True,0.70396,0.163419,0.132621,0.632841,0.146679,0.22048,0,1,2018-11-13,2025-12-03,מרב מיכאלי,Female,Israel,Jewish,Jewish,Secular,55.0896,124.441,7.38245,mk
23566,320,11,0.959186,8100,42231,0.279136,0.190831,0.163086,0.140252,0.116049,0.415745,0.255783,0.302184,0.145318,0.181064,0.103121,0.129311,True,0.665635,0.204334,0.130031,0.594247,0.222559,0.183195,0,0,2018-11-05,2019-12-02,סתיו שפיר,Female,Israel,Jewish,Jewish,Secular,33.6079,147.431,1.14379,mk
23568,226,20,0.95962,6726,34904,0.267767,0.207111,0.134106,0.149897,0.13366,0.499167,0.243728,0.292699,0.119413,0.14986,0.113627,0.154069,True,0.657968,0.20211,0.139922,0.588692,0.192905,0.218404,1,1,2018-11-05,2021-01-04,איציק שמולי,Male,Israel,Jewish,Jewish,Secular,39.9452,122.7,1.12517,mk
23569,267,25,0.747717,5250,26561,0.403429,0.323444,0.236381,0.243741,0.167048,0.41407,0.37317,0.438426,0.215564,0.26028,0.145958,0.190087,True,0.683192,0.144476,0.172332,0.56809,0.171636,0.260274,1,1,2018-11-05,2018-12-31,מיקי רוזנטל,Male,Israel,Jewish,Jewish,Secular,63.8186,126.866,0.747717,mk
23570,118,13,0.403585,3102,15878,0.263056,0.201978,0.167311,0.156128,0.0957447,0.363971,0.232762,0.294845,0.140916,0.196323,0.0761036,0.1156,True,0.666667,0.180147,0.153186,0.624277,0.196532,0.179191,0,0,2018-11-05,2019-01-01,מיכל בירן,Female,Israel,Jewish,Jewish,Secular,40.6691,132.821,0.417216,mk
23571,86,8,0.313848,1959,9816,0.319551,0.298594,0.207249,0.262429,0.112302,0.351438,0.278259,0.363337,0.173323,0.246847,0.083915,0.139002,True,0.65016,0.170927,0.178914,0.573892,0.140394,0.285714,1,0,2018-11-28,2018-12-18,משה מזרחי,Male,Israel,Jewish,Jewish,Unrecorded,68.2683,112.898,0.313848,mk
23573,126,14,0.533967,3388,17624,0.397875,0.356786,0.241736,0.304131,0.156139,0.392433,0.36104,0.435264,0.210876,0.271209,0.129887,0.181826,True,0.675074,0.12092,0.204006,0.549451,0.102564,0.347985,1,3,2018-11-08,2018-12-31,יוסי יונה,Male,Israel,Jewish,Jewish,Unrecorded,65.4624,110.911,0.533967,mk
23591,255,255,0.950843,6874,34468,0.285423,0.254294,0.187373,0.215098,0.0980506,0.343527,0.261372,0.310403,0.165143,0.209752,0.0796804,0.117543,True,0.64475,0.169725,0.185525,0.550466,0.185559,0.263975,3,3,2018-11-05,2025-08-06,אלעזר שטרן,Male,Israel,Jewish,Jewish,Religious,67.1524,127.273,26.8732,mk
23594,197,14,0.966696,7113,37000,0.19373,0.144946,0.115985,0.119,0.077745,0.401306,0.179054,0.210637,0.103124,0.12977,0.0678858,0.0881245,True,0.716255,0.157475,0.12627,0.665455,0.18303,0.151515,1,1,2020-03-24,2026-01-06,יאיר לפיד,Male,Israel,Jewish,Jewish,Secular,57.6153,126.761,1.0102,mk
23596,312,35,0.932431,6537,33097,0.358574,0.319153,0.21799,0.250899,0.140584,0.392065,0.315047,0.41301,0.174715,0.282011,0.118993,0.16422,True,0.582338,0.27773,0.139932,0.486316,0.301754,0.21193,2,3,2018-11-04,2020-02-04,יעל גרמן,Female,Israel,Jewish,Jewish,Secular,71.4865,123.96,1.91874,mk
23597,259,259,0.935003,6125,30918,0.292408,0.250728,0.188245,0.209522,0.104163,0.356226,0.259574,0.331502,0.157592,0.2288,0.0878257,0.120652,True,0.625349,0.227806,0.146845,0.503903,0.284475,0.211622,1,1,2018-11-05,2025-11-04,מאיר כהן,Male,MENA,Jewish,Jewish,Unrecorded,67.1168,114.648,17.7739,mk
23599,235,18,0.948419,7065,36294,0.318471,0.239985,0.151875,0.161983,0.166596,0.523111,0.291726,0.344558,0.136869,0.168362,0.148787,0.186735,True,0.649778,0.237778,0.112444,0.592731,0.183597,0.223672,2,2,2018-11-05,2018-12-25,עליזה לביא,Female,Israel,Jewish,Jewish,Religious,54.802,130.705,1.29553,mk
23600,245,108,0.952339,6919,35598,0.307125,0.266981,0.212892,0.237766,0.0942333,0.306824,0.260242,0.367977,0.160834,0.275522,0.0751914,0.116006,True,0.553412,0.324235,0.122353,0.437882,0.385608,0.176511,0,2,2018-11-05,2020-12-21,עפר שלח,Male,Israel,Jewish,Jewish,Secular,60.4735,118.962,18.2993,mk
23601,221,65,0.945895,7063,36362,0.323517,0.268797,0.205295,0.214427,0.118222,0.365427,0.286696,0.361955,0.175233,0.241913,0.0992412,0.138941,True,0.642888,0.250766,0.106346,0.570345,0.255862,0.173793,0,0,2018-11-05,2020-12-14,יואל רזבוזוב,Male,FSU,Jewish,Jewish,Secular,40.08,122.449,2.6672,mk
23631,300,300,0.939835,5274,26686,0.374858,0.298883,0.182025,0.221839,0.192833,0.514416,0.340852,0.407423,0.15929,0.204153,0.164707,0.219715,True,0.666667,0.160344,0.172989,0.508333,0.183333,0.308333,6,4,2018-11-05,2025-05-28,קארין אלהרר,Female,Israel,Jewish,Jewish,Secular,45.8341,104.248,26.0435,mk
23632,258,258,0.907363,5737,28765,0.308001,0.262089,0.193307,0.218808,0.114694,0.372383,0.283539,0.333038,0.173269,0.215797,0.0995543,0.131708,True,0.653084,0.168081,0.178834,0.554554,0.171326,0.274121,1,3,2018-11-05,2023-02-08,מיקי לוי,Male,Israel,Jewish,Jewish,Secular,72.0323,112.635,52.5486,mk
23635,266,242,0.932541,6548,33375,0.268937,0.233618,0.175321,0.194067,0.0936164,0.348098,0.245002,0.296459,0.156101,0.193603,0.0753859,0.115023,True,0.622942,0.202158,0.174901,0.567944,0.197735,0.234321,1,0,2018-11-13,2026-01-06,פנינה תמנו,Female,Ethiopia,Jewish,Jewish,Unrecorded,43.3962,126.509,64.912,mk
23639,266,213,0.915461,6978,35382,0.271711,0.247668,0.184723,0.218727,0.0869877,0.320148,0.25221,0.295226,0.167513,0.20369,0.07376,0.10139,True,0.674051,0.185654,0.140295,0.617533,0.155935,0.226532,2,5,2019-11-18,2026-01-05,בועז טופורובסקי,Male,Israel,Jewish,Jewish,Secular,42.0703,136.526,12.2783,mk
23641,266,266,0.882927,5589,28048,0.341385,0.316172,0.245303,0.292712,0.0960816,0.281447,0.31676,0.36857,0.208519,0.295018,0.0491629,0.127648,True,0.657233,0.15566,0.187107,0.520788,0.139314,0.339898,4,5,2018-11-05,2024-05-20,יעקב אשר,Male,Israel,Jewish,Jewish,Haredi,57.7112,113.94,115.898,mk
