speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
23553,280,19,0.953702,6620,34289,0.319335,0.199831,0.238822,0.169646,0.0805136,0.252129,0.292409,0.349248,0.213427,0.266674,0.061766,0.0991394,True,0.505676,0.194418,0.299905,0.376344,0.170145,0.45351,1,1,2018-11-05,2018-12-31,שולי מועלם-רפאלי,Female,Israel,Jewish,Jewish,Religious,53.9066,126.398,1.14403,mk
23558,310,310,0.922117,6524,31981,0.524372,0.351678,0.389945,0.288202,0.134427,0.256358,0.484015,0.568112,0.351586,0.434612,0.112299,0.155115,True,0.463899,0.144402,0.391698,0.309355,0.0966981,0.593947,1,3,2018-11-05,2024-03-17,דוד ביטן,Male,MENA,Jewish,Jewish,Secular,63.7659,126.555,123.892,mk
23560,258,215,0.889476,6162,30906,0.483934,0.290332,0.355242,0.235035,0.128692,0.265929,0.445633,0.526699,0.319058,0.393873,0.111357,0.14771,True,0.552649,0.135144,0.312207,0.432161,0.105984,0.461855,2,2,2018-11-05,2026-01-20,יוליה מלינובסקי,Female,FSU,Jewish,Jewish,Secular,47.4277,122.982,25.4048,mk
23564,235,22,0.914088,6541,32081,0.44825,0.287834,0.350711,0.25685,0.0975386,0.217599,0.413134,0.482476,0.314072,0.384962,0.0799175,0.113214,True,0.483288,0.118008,0.398704,0.326068,0.0854403,0.588492,0,0,2018-11-08,2023-03-22,דוד אמסלם,Male,Israel,Jewish,Jewish,Secular,60.0571,122.585,2.69051,mk
23565,232,130,0.973373,7027,36402,0.330013,0.209494,0.266828,0.186281,0.0631849,0.191462,0.294996,0.365815,0.233181,0.301736,0.0502421,0.0775023,True,0.482967,0.112117,0.404916,0.365867,0.0848,0.549333,0,1,2018-11-13,2025-12-03,מרב מיכאלי,Female,Israel,Jewish,Jewish,Secular,55.0896,124.441,7.38245,mk
23566,320,11,0.959186,8100,42231,0.33642,0.190831,0.225679,0.140252,0.110741,0.329174,0.307795,0.365748,0.201092,0.252417,0.0972371,0.124922,True,0.552294,0.169541,0.278165,0.429431,0.160832,0.409737,0,0,2018-11-05,2019-12-02,סתיו שפיר,Female,Israel,Jewish,Jewish,Secular,33.6079,147.431,1.14379,mk
23568,226,20,0.95962,6726,34904,0.340024,0.207111,0.215433,0.149897,0.124591,0.366419,0.309132,0.37671,0.188637,0.2477,0.104883,0.144899,True,0.518146,0.15916,0.322693,0.36646,0.120083,0.513458,1,1,2018-11-05,2021-01-04,איציק שמולי,Male,Israel,Jewish,Jewish,Secular,39.9452,122.7,1.12517,mk
23569,267,25,0.747717,5250,26561,0.505143,0.323444,0.347429,0.243741,0.157714,0.312217,0.469245,0.5467,0.316428,0.380901,0.134504,0.181437,True,0.545626,0.115385,0.338989,0.386513,0.116776,0.496711,1,1,2018-11-05,2018-12-31,מיקי רוזנטל,Male,Israel,Jewish,Jewish,Secular,63.8186,126.866,0.747717,mk
23570,118,13,0.403585,3102,15878,0.334945,0.201978,0.241457,0.156128,0.0934881,0.279115,0.294225,0.373087,0.20372,0.27696,0.0708068,0.1145,True,0.52358,0.141482,0.334937,0.432577,0.136182,0.431242,0,0,2018-11-05,2019-01-01,מיכל בירן,Female,Israel,Jewish,Jewish,Secular,40.6691,132.821,0.417216,mk
23571,86,8,0.313848,1959,9816,0.459418,0.298594,0.364982,0.262429,0.0944359,0.205556,0.398673,0.524066,0.305282,0.427963,0.0673289,0.120287,True,0.452222,0.118889,0.428889,0.325874,0.0797203,0.594406,1,0,2018-11-28,2018-12-18,משה מזרחי,Male,Israel,Jewish,Jewish,Unrecorded,68.2683,112.898,0.313848,mk
