speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
30696,232,0.932784,0.34444,0.264686,0.0797538,0.0666018,0.0925083,0.231546
23591,255,0.950843,0.403259,0.309427,0.0938318,0.0750616,0.112946,0.232684
30741,274,0.928416,0.444051,0.340629,0.103422,0.0831726,0.124814,0.232905
30873,338,0.89354,0.443277,0.33969,0.103588,0.0858088,0.121749,0.233686
30760,230,0.960311,0.401671,0.30766,0.0940111,0.0716836,0.113802,0.23405
30098,90,0.253537,0.478938,0.366758,0.112179,0.0875711,0.137325,0.234226
30686,252,0.954501,0.276658,0.211595,0.0650633,0.0506122,0.0842961,0.235176
30807,206,0.959239,0.313581,0.239718,0.0738627,0.0614821,0.0881682,0.235546
30880,285,0.965806,0.3573,0.272781,0.0845194,0.0665092,0.102578,0.23655
23635,266,0.932541,0.36515,0.278711,0.0864386,0.0667456,0.110094,0.236721
30682,236,0.924088,0.340881,0.260039,0.080842,0.0629611,0.0997527,0.237156
30766,220,0.956557,0.389275,0.296708,0.0925668,0.0794225,0.105453,0.237793
30689,235,0.924574,0.344056,0.26177,0.0822863,0.059988,0.107286,0.239165
30721,220,0.955158,0.35655,0.271231,0.0853193,0.0728899,0.0979551,0.239291
30764,265,0.915927,0.419614,0.319019,0.100594,0.0847462,0.116984,0.239731
30895,251,0.952479,0.30937,0.235165,0.0742049,0.0621919,0.0856329,0.239858
30121,270,0.935786,0.377301,0.285404,0.0918974,0.076302,0.107135,0.243565
30870,220,0.942921,0.424053,0.320428,0.103624,0.0876142,0.120755,0.244367
30692,216,0.979686,0.335711,0.253364,0.0823472,0.0693951,0.0964032,0.245292
30688,41,0.171305,0.377086,0.284522,0.0925645,0.0659328,0.120915,0.245473
30077,126,0.734425,0.338945,0.255668,0.0832772,0.0696959,0.0965572,0.245695
30691,226,0.942981,0.399219,0.301041,0.0981781,0.0787023,0.116472,0.245925
30751,227,0.942187,0.31035,0.233876,0.0764742,0.0634428,0.0899203,0.246413
30678,251,0.938403,0.604307,0.45532,0.148987,0.126237,0.172117,0.246543
30070,233,0.935028,0.476261,0.358668,0.117593,0.100321,0.133532,0.246909
23673,38,0.124347,0.443896,0.334155,0.109741,0.0641162,0.156303,0.247222
23573,126,0.533967,0.561098,0.422078,0.13902,0.113505,0.162887,0.247764
30470,303,0.92019,0.486256,0.365741,0.120515,0.105709,0.135699,0.247842
30759,190,0.975169,0.340086,0.255543,0.084543,0.068623,0.0993798,0.248593
23597,259,0.935003,0.384327,0.288653,0.0956735,0.07987,0.11141,0.248938
30770,257,0.929209,0.348107,0.261418,0.0866887,0.0733891,0.10143,0.249029
30784,216,0.962771,0.362742,0.272193,0.090549,0.0751332,0.108697,0.249623
30724,182,0.949726,0.42494,0.318745,0.106195,0.0901702,0.123176,0.249905
30717,217,0.966569,0.333089,0.249158,0.0839314,0.0651442,0.106801,0.251979
23553,280,0.953702,0.319335,0.238822,0.0805136,0.061766,0.0991394,0.252129
30300,248,0.958551,0.312867,0.233696,0.0791716,0.0612415,0.0969444,0.253052
